target,frequency,num_of_docs_occured
Pres,1834866,731016
2001,964355,493340
Rock,531689,230510
The W,490320,289994
Blue,447701,193689
Revolution,242332,122969
Now,187459,125138
Cuba,171248,52225
Today,166314,132588
Stars,124831,67587
Freedom,103496,56236
Together,80130,68260
Faith,61055,34660
Forever,35235,21547
Believe,27208,17126
Survivor,21681,10965
Aces,14505,7420
Bloomington,13636,8049
Civilization,13478,8289
Greatest Hits,13173,8033
The Day,12987,9411
Load,12515,7612
Danzig,11633,4841
Part 3,6492,4600
Stardust,6322,3420
Iron Maiden,5058,2532
Chamber Music,4599,2916
Falconer,4266,2208
The Stranger,3593,2373
Reload,3469,2197
Emotions,3212,2145
Daydream,3089,1805
Mr T,2929,2050
Bad Girl,2737,1561
Duets,2576,1837
The Works,2453,1937
Boom Boom,2173,1229
J. Lo,2161,1814
The Supremes,2002,1027
Souvenirs,1983,1511
Real Life,1888,1347
Znam,1880,1062
The Outlaw,1871,1179
Bastards,1799,1176
Bad Girls,1678,930
Rage Against the Machine,1651,1078
Hysteria,1584,977
Christology,1431,747
High Energy,1254,877
The Greatest Hits,1239,896
The Remixes,1094,776
Brainstorm,1073,697
Marcus Garvey,1059,665
Patches,1014,773
American Classic,878,681
Mandy Moore,852,568
Premonition,818,535
Blue Island,813,356
Brown Sugar,801,483
Janet.,786,658
The Ultimate Collection,764,567
The Anthology,648,507
Action!,629,456
Christmas Party,607,466
Like a Prayer,571,231
Vital Signs,558,272
Dancing Queen,538,318
Best of Me,526,343
All for You,524,271
Light My Fire,520,319
Ace of Spades,516,330
Black Sunday,460,303
Albert Collins,449,309
Sogno,418,303
Disco Inferno,412,263
Soul Sister,400,263
Something Special,390,271
The Number of the Beast,369,179
Against the Wind,357,232
Super Hits,349,195
Highway to Hell,349,229
The Healer,347,257
The Marshall Mathers LP,344,199
Body & Soul,337,250
One for the Road,336,208
Pyromania,336,178
Oops!... I Did It Again,325,146
Appetite for Destruction,324,176
Tom Tom Club,321,206
So Real,319,188
Snakebite,315,209
The Israelites,304,196
Classics Collection,300,211
Parallel Lines,283,169
Strong Heart,271,138
Use Your Illusion I,267,104
Too Hot to Handle,251,180
Let the Good Times Roll,235,182
Falling into You,226,96
The Velvet Rope,226,109
Smiley Smile,226,73
3LW,223,121
Never Can Say Goodbye,199,150
On a Night Like This,197,90
Ring My Bell,193,98
Piece of Mind,188,119
Slippery When Wet,185,129
Rhythm Nation 1814,165,79
Texas Flood,164,70
Angel Street,163,120
A Kind of Magic,159,102
The Miseducation of Lauryn Hill,148,98
The Troublemaker,144,104
Scared Straight,139,82
