target,frequency,num_of_docs_occured
Queen,609594,245205
Chic,566732,219134
New York City,342511,179086
Dio,199870,87228
Cher,189203,84634
Saxon,97381,42204
Madonna,37470,14518
Pras,35372,18112
Sting,22886,10407
Survivor,21681,10965
Odyssey,17707,10774
Slayer,12845,5673
Danzig,11633,4841
Abigail,10716,6296
Accept,9948,6878
David Bowie,9741,5793
Eminem,8536,2966
Led Zeppelin,7317,4116
Metallica,7209,3573
The Rolling Stones,5950,4112
Johnny Cash,5931,3413
Miles Davis,5489,3198
Neil Young,5386,2894
ABBA,5301,2325
Scorpions,5255,3126
Iron Maiden,5058,2532
Britney Spears,5020,3284
Black Sabbath,4836,2672
Blondie,4727,2420
Mariah Carey,4596,2735
Willie Nelson,4514,2828
AC/DC,4511,2553
Tavares,4496,2361
Dr. Dre,4387,2034
Hank Williams,4279,2429
50 Cent,4278,1949
Falconer,4266,2208
Bon Jovi,4260,2201
Coroner,4082,2558
Guns N' Roses,3886,2177
Dolly Parton,3734,2306
Barbra Streisand,3708,2439
Bee Gees,3646,1849
Bob Marley,3629,2177
Janet Jackson,3606,2163
Jennifer Lopez,3467,2256
The Beach Boys,3321,2128
Christina Aguilera,3230,2119
Public Enemy,3041,1852
John Anderson,3017,2246
Megadeth,2996,1440
Billy Joel,2799,1808
George Jones,2782,1590
Ozzy Osbourne,2779,1808
Meco,2763,1244
Motörhead,2743,1511
Aaliyah,2621,895
Spice Girls,2556,1204
Beastie Boys,2466,1565
Anthrax,2441,1278
Ice Cube,2429,1350
Judas Priest,2354,1394
Kenny Rogers,2333,1457
Busta Rhymes,2293,1350
Jethro Tull,2265,1202
Dazzle,2263,1152
Destiny's Child,2173,1161
Vince Gill,2166,1300
Donna Summer,2061,1278
The Supremes,2002,1027
Wu-Tang Clan,1972,1202
Cypress Hill,1950,1183
The Ambassador,1927,1501
Robert Johnson,1927,1389
Def Leppard,1908,1127
Jerry Lee Lewis,1901,1189
Waylon Jennings,1820,1119
Kate Bush,1716,1161
Garth Brooks,1689,1072
"Earth, Wind & Fire",1677,1022
Reba McEntire,1653,1067
Rage Against the Machine,1651,1078
Loretta Lynn,1604,903
Alanis Morissette,1594,1111
Sarah Vaughan,1572,1082
John Lee Hooker,1465,927
George Strait,1450,885
Wyclef Jean,1425,912
2Pac,1372,701
Shania Twain,1349,843
Lionel Hampton,1328,967
Simple Minds,1317,737
The Prodigy,1263,893
Lauryn Hill,1248,802
De La Soul,1231,776
Armin van Buuren,1221,573
Patsy Cline,1216,723
Steve Reich,1187,795
Coleman Hawkins,1157,750
Faith Hill,1151,769
Peter Brown,1110,804
Brad Paisley,1100,673
A Tribe Called Quest,1090,699
Tony Williams,1077,702
Dexter Gordon,991,591
Joe Henderson,961,633
Charles Lloyd,911,553
Morphine,869,495
Mandy Moore,852,568
Boney M.,843,314
Heatwave,837,534
Village People,835,527
Daniel Barenboim,825,620
Lester Young,822,542
Simply Red,780,507
Boz Scaggs,773,474
The Stone Roses,764,481
Gram Parsons,748,467
Branford Marsalis,738,494
Gamma Ray,723,450
Céline Dion,704,512
Jimmy Cliff,686,487
Gloria Gaynor,657,482
Joe Lovano,639,404
Burning Spear,616,372
Ani DiFranco,600,419
Travis Tritt,597,403
Rick Springfield,589,384
Fletcher Henderson,587,404
Run-DMC,584,412
Living Colour,576,411
Patty Loveless,571,372
Peter Tosh,571,385
Emilio Estefan,547,304
Ladysmith Black Mambazo,517,313
Dennis Brown,508,316
James Carter,501,366
P!nk,465,351
Blind Guardian,456,283
Albert Collins,449,309
Floyd Cramer,437,375
King Tubby,434,196
Bobby Bare,423,289
Pryda,414,184
Ashford & Simpson,392,266
Dark Tranquillity,390,212
Billy Ocean,367,255
Billy Squier,360,240
The Statler Brothers,348,233
KC and the Sunshine Band,344,272
Gregory Isaacs,333,212
Tom Tom Club,321,206
Coal Chamber,305,155
Prince Buster,302,172
Skream,301,186
Cheryl Lynn,288,216
Alfred Brendel,271,196
The Three Degrees,265,174
Sammy Kershaw,261,166
Desmond Dekker,250,175
Suzy Bogguss,248,162
LTN,247,141
Johnny Paycheck,241,186
Osibisa,237,147
Bronski Beat,232,152
Bob Marley & The Wailers,219,145
Amii Stewart,205,121
Marzian,200,121
The Kentucky Headhunters,188,95
Clarence Carter,182,125
B.J. Thomas,174,136
The Sugarhill Gang,173,133
Johnny Rodriguez,171,134
Johnny Tillotson,169,106
Juilliard String Quartet,169,122
Silver Convention,155,98
Young MC,154,114
"Evelyn ""Champagne"" King",152,116
The Tokens,150,115
Marcia Griffiths,148,117
The Trammps,147,111
Buckwheat Zydeco,144,108
The Ethiopians,140,100
George McCrae,138,120
Clifton Chenier,137,106
Larry Boone,125,94
Gibson Brothers,123,95
Freddie McGregor,123,90
Peaches & Herb,122,92
Kendalls,120,82
Carl Douglas,113,100
Kelly Joe Phelps,109,52
David Christie,109,89
The Heptones,107,74
Radu Lupu,103,90
Carl Carlton,102,63
Billie Jo Spears,100,81
Anita Ward,98,87
Ini Kamoze,96,81
Ray Peterson,94,78
Magic Slim,87,58
Patrick Cowley,81,51
Ottawan,79,61
The Exciters,78,62
Temper Temper,78,41
Evelyn Thomas,76,58
Alicia Bridges,74,50
G.Q.,71,50
Terell Stafford,67,51
New Bomb Turks,63,43
"Henry ""Red"" Allen",63,52
Johnny Preston,62,49
Miquel Brown,54,42
Empire Brass,51,31
Karl Denver,46,40
The Tymes,43,35
Hot Toddy,38,30
Jimmie Skinner,38,30
Jacob's Dream,35,28
Bihler,30,12
Shirley & Company,29,28
Love & Kisses,29,22
Harold Melvin & The Blue Notes,28,21
Bob Seger & The Silver Bullet Band,28,26
Hugh Mundell,26,15
The Clark Family Experience,25,11
Stevie Ray Vaughan & Double Trouble,24,20
Tvangeste,23,10
Takako Nishizaki,20,15
"Today, Tomorrow, Forever",18,14
Bob Mintzer Big Band,15,13
"Lipps, Inc.",15,10
Javier Perianes,14,12
Archie Bell & The Drells,13,12
Connie Hall,12,11
Matthias Kirschnereit,9,7
Mothers Pride,9,6
Lubo Kirov,8,5
Boney M. 2000,8,3
Royal Northern College of Music Wind Orchestra,5,5
LaToya Jackson,5,5
Van McCoy & The Soul City Symphony,4,3
Magic Slim & The Teardrops,4,3
Alec Costandinos,3,3
Disco-Tex & His Sex-O-Lettes,2,2
Afrika Bambaataa & The Soul Sonic Force,2,2
Branford Marsalis Trio,1,1
Regina Belle & Peabo Bryson,1,1
Buckwheat Zydeco Ils Sont Partis,1,1
"Ahmed Abdullah, Marshall Allen, Clifford Barbaro, John Gilmore, Gilmore, Tyrone Hill, Ron Mcbee, Sun Ra, Sun Ra Arkestra, Jorge Silva & June Tyson",0,0
Zydecajun & Wayne Toups,0,0
Academy of St Martin in the Fields & Sir Neville Marriner,0,0
Whitney Houston And Enrique Iglesias,0,0
"Taverner Choir, Taverner Consort & Taverner Players",0,0
Tobi Kreis,0,0
Udo Wachtveitl & Burchard Dabinnus,0,0
André Previn & London Symphony Orchestra,0,0
Sir Neville Marriner & Academy of St Martin in the Fields,0,0
Timothy Reynish & Royal Northern College of Music Wind Orchestra,0,0
Andrea Bocelli & Céline Dion,0,0
Luke Miltenburg,0,0
"Aretha Franklin, Carole King, Céline Dion, Gloria Estefan, Mariah Carey & Shania Twain",0,0
Robert Downey Jr. And Sting,0,0
"Ice Cube, Mack 10 & Ms. Toi",0,0
Chicago Symphony Orchestra & Daniel Barenboim,0,0
"Heinz Holliger, Thomas Zehetmair, Massimo Polidori & Andreas Erismann",0,0
Heinz Holliger & Camerata Bern,0,0
"Christina Aguilera, Lil' Kim, Mýa & P!nk",0,0
Gunther Hasselmann,0,0
"Gitti Pirner, Johannes Ritzkowsky & Wolfgang Swallisch",0,0
Gewandhausorchester & Kurt Masur,0,0
Clark Rundell & Royal Northern College of Music Wind Orchestra,0,0
George S. Clinton & Morphine,0,0
Claudio Abbado & Orchestra Mozart,0,0
Gabriel Marchisio,0,0
"Freddie McGregor, Gregory Isaacs & Ninjaman",0,0
Federico Procopio,0,0
"English Chamber Orchestra, Leonard Slatkin & José Luis Garcia",0,0
E. Power Biggs & Vittorio Negri,0,0
Cru Thik & Ty Gracie,0,0
Don Armando's 2nd Ave. Rhumba Band,0,0
DJ 20 & 20 Feat. Kevin Hart & Various Artists,0,0
Dirt featuring Epsilon,0,0
DJ's Z-Trip & Radar,0,0
"Dame Joan Sutherland, Richard Bonynge, London Symphony Orchestra, Sherrill Milnes, Christian Du Plessis, John Gibbs & Riccardo Cassinelli",0,0
Dennis Brown & Bongo Herman,0,0
Jeroen van Veen & Sandra van Veen,0,0
3LW featuring NAS,0,0
Johannes Ritzkowsky & Wolfgang Swallisch,0,0
Maurice André & Jean-François Paillard & Jean-François Pailla,0,0
Rick Dees And His Cast Of Idiots,0,0
"Babyface, Mariah Carey, Kenny G & Sheila E.",0,0
Barrington Levy & Bounty Killer,0,0
Quiet Resonance,0,0
Big Youth & Dennis Brown,0,0
Oscar P & FNX OMAR,0,0
Nina Martinique,0,0
Nicholas Ward & Northern Chamber Orchestra,0,0
Bob Marley & Funkstar De Luxe,0,0
Melodía Derelajación,0,0
Bounty Killer & Fugees,0,0
"Johnny O'Neal, Dave Young & Terry Clarke",0,0
David Morales & The Face,0,0
Los Angeles Philharmonic & Leonard Bernstein,0,0
Leonard Bernstein & Los Angeles Philharmonic,0,0
Leonard Bernstein & Israel Philharmonic Orchestra,0,0
Keppra & Stackhash,0,0
"Kazimierz Kord, Warsaw Philharmonic Orchestra, Warsaw National Philharmonic Orchestra & Kaja Danczowska",0,0
Jxctis,0,0
Junia Walker AllStars,0,0
"Juilliard String Quartet, Robert Mann, Joel Smirnoff, Samuel Rhodes & Joel Krosnick",0,0
Joris Teepe Quintet,0,0
ram jam world,0,0
