target,frequency,num_of_docs_occured
Rock,2029683,882782
Blue,823973,370133
2001,369827,309598
The W,320082,177685
Pres,305951,165314
Now,209966,124287
Stars,98133,54149
Today,84634,64394
Freedom,79870,63265
Cuba,68009,33047
Forever,67777,36530
Faith,67768,34038
Revolution,65137,42257
Together,58609,36897
Believe,56010,29954
Greatest Hits,40217,22984
Chamber Music,22105,19409
Iron Maiden,17692,9186
The Day,14223,9105
Daydream,10838,6759
Load,10432,5841
Stardust,9314,4760
Survivor,9221,4825
Danzig,6735,3237
Reload,5539,2812
Christmas Party,4882,4670
Aces,4793,2391
Duets,4295,2630
Emotions,4211,2349
The Supremes,4022,2435
Rage Against the Machine,4011,2950
Boom Boom,3927,1990
Bastards,3921,2130
The Stranger,3541,1906
Part 3,3248,1738
Bad Girl,3089,1724
The Ultimate Collection,3080,1749
Real Life,3065,1620
The Greatest Hits,3013,2050
Civilization,2955,1931
Bloomington,2845,2218
Souvenirs,2723,1381
Brainstorm,2455,1117
Mandy Moore,2356,1241
Albert Collins,2126,1174
Hysteria,2126,1220
The Outlaw,2115,1135
Super Hits,2089,1074
All for You,1770,817
Brown Sugar,1766,961
The Marshall Mathers LP,1740,808
The Remixes,1640,1314
Falconer,1592,898
Slippery When Wet,1487,685
Premonition,1465,830
Best of Me,1464,827
Tom Tom Club,1451,663
Light My Fire,1392,817
The Number of the Beast,1338,541
Bad Girls,1310,719
The Works,1298,748
Use Your Illusion I,1243,518
Dancing Queen,1240,736
The Anthology,1192,867
Like a Prayer,1095,537
Let the Good Times Roll,1095,485
Texas Flood,1079,401
So Real,1030,553
Something Special,1022,522
Sogno,949,495
Disco Inferno,884,478
Use Your Illusion II,870,402
Ace of Spades,869,447
Rhythm Nation 1814,846,377
Vital Signs,841,479
Judge Dread,841,296
The Water Is Wide,834,372
3LW,814,319
Reign In Blood,801,351
Mr T,786,543
Piece of Mind,784,413
Never Can Say Goodbye,737,394
American Classic,722,576
Highway to Hell,718,452
Patches,704,382
Soul Sister,700,420
Marcus Garvey,664,412
Jagged Little Pill (Remastered),645,215
Parallel Lines,640,395
Appetite for Destruction,628,481
Wu-Tang Forever,612,313
Oops!... I Did It Again,588,218
Body & Soul,582,306
Black Sunday,574,267
Pyromania,548,304
High Energy,545,312
J. Lo,531,459
Supposed Former Infatuation Junkie,529,229
Ill Communication,528,275
The Healer,527,309
One for the Road,526,271
Falling into You,519,286
Smiley Smile,500,293
Exodus (Deluxe Edition),499,167
The Velvet Rope,480,343
Balls to the Wall,468,214
Ring My Bell,456,240
The Miseducation of Lauryn Hill,452,316
Against the Wind,447,245
On a Night Like This,432,241
God Hates Us All,416,196
Red Headed Stranger,387,245
Snakebite,379,221
A Kind of Magic,355,171
Hounds of Love,352,218
Blue Island,349,139
Big Ship,335,167
Znam,297,165
Licensed to Ill,294,233
Kill 'Em All (Remastered),291,97
The Fat of the Land,288,161
Always On My Mind,280,198
Too Hot to Handle,276,118
One Step at a Time,270,160
Midnight Marauders,266,197
Legalize It,263,139
3 Feet High and Rising,254,192
Action!,253,141
I Still Believe in You,244,105
Fear of a Black Planet,243,179
I Wanna Be With You,240,126
The Low End Theory,235,188
Janet.,235,199
Strong Heart,233,143
The Stone Roses (20th Anniversary Collector's Edition),230,90
I Feel the Spirit,211,99
Disco Nights,200,58
Working Class Dog,195,83
Scared Straight,181,80
Christology,174,83
The Israelites,171,93
Shame Shame Shame,170,89
Jacob's Dream,162,59
King of the Delta Blues,161,115
Ghetto Supastar,148,72
Here Comes the Hotstepper,140,74
The Troublemaker,136,70
The Clark Family Experience,133,55
Fistful of Metal,127,100
Somewhere In Time,123,97
The Real Folk Blues,121,80
Greatest Hits: My Prerogative,117,50
Down the Road I Go,116,62
King of the Delta Blues Singers,114,87
Skydancer,114,73
Like Swimming,110,49
I Care 4 U,109,67
The Dream of the Blue Turtles,109,72
Me and Paul,107,54
Forty Licks,107,92
Country Gold,105,66
Denim and Leather,105,62
Imperfectly,104,39
Classics Collection,104,75
When I Call Your Name,100,48
Seminole Wind,99,65
Christina Aguilera (Expanded Edition),96,32
D.I.S.C.O.,96,71
Disco Duck,90,65
Too Hot to Sleep,88,58
Who Needs Pictures,87,53
Angel Street,85,44
It Always Will Be,67,25
King of Ska,66,22
On The 6,66,49
Bayou Blues,65,41
Not a Pretty Girl,63,34
This Is the Remix,62,47
Thank You For The Music,61,48
Fly Robin Fly,60,27
For Adults Only,59,30
The Beautyful Ones Are Not Yet Born,57,23
Soon Forward,57,21
Mouth To Mouth,54,48
The Woman In Me,53,44
A Horse Called Music,52,34
Fight The Power,49,37
When Seconds Count,48,32
Rasta Business,47,17
Foreign Intrigue,47,24
Pocket Full of Gold,46,22
The World Should Know,45,22
The Best of Dennis Brown,45,15
Keeps Gettin' Better: A Decade of Hits,42,26
On the Riviera,39,28
My Xperience,38,17
Where There's Smoke There's Fire,38,18
Talk Back Trembling Lips,38,28
Rock You Baby,37,21
Native Heart,37,20
City Of New Orleans,37,21
No More Color,36,23
It's Your Call,35,16
Raise!,35,18
The Mystery of Life,34,17
Persistence Of Time,33,16
House of the Blues,33,17
Experimentals,32,27
All 'N All,31,16
It Serves You Right to Suffer,29,9
Beethoven: The Symphonies,28,5
Shine Eyed Mister Zen,28,19
I Still Believe In You,27,19
Guitar & Bass,26,21
Yeah Man!,26,12
Deputy of Love,23,16
A Fantasy Love Affair,21,11
Art of the Big Band,21,7
Art Official Intelligence: Mosaic Thump,21,9
The Promiseland,20,14
"Beats, Rhymes & Life",17,11
20th Century Hits,17,17
Taking It Home,17,4
6:66 Satan's Child,17,7
Trustmaker,16,10
Money In My Pocket,15,13
Chicas de Hoy,15,6
Extinction Level Event: The Final World Front,15,6
Living with the Past,14,13
Bernstein Conducts Bernstein,13,4
The Ultimate Bee Gees,13,13
Mayan Temples,13,8
Blackman's Foundation,12,2
Shoe Factory,12,9
The Best of George Jones,12,8
2 Hot!,11,4
Ten Years Of Gold,11,4
I'm Doin' Fine Now,11,10
Oldies Are Now,10,3
Somewhere out in Space,10,5
Essential Hits,10,10
Kung Fu Fighter,9,6
The Willie Way,9,3
Blast from the Bayou,9,3
100% Fortified Zydeco,9,3
Living In the Past,9,5
"So Near, So Far (Musings for Miles)",8,1
Reaching for the Best,8,7
Wyclef Jean presents The Carnival featuring Refugee Allstars,8,8
Two Worlds One Heart,8,2
Soulful Swinging,7,2
The Story of Neptune,7,3
Simply Miquel Brown,6,6
Somewhere Far Beyond (Remastered 2007),6,2
Revised Quest for the Seasoned Traveller,5,5
Schubert: Wandererfantasie,5,1
King Tubby's Special,5,3
The Best of Survivor,5,5
The Writing's On the Wall,5,4
Beethoven : Piano Sonatas,5,5
In Through the Out Door (Deluxe Edition),5,3
African Flight,4,2
One Hell Of A Ride,4,2
Trascendiendo,4,2
Best of Number Ones,4,4
Disco Tex & His Sex-O-Lettes,4,3
San Francisco Macho Man,4,4
Anthology: The Sounds of Science,3,2
"Vivaldi's ""The Four Seasons""",3,3
Natural Mystic: The Legend Lives On,3,3
All I Ever Meant To Do Was Sing,2,2
Jimmie Skinner - His Very Best,2,2
Baby Come to Me: The Best of Regina Belle,2,2
Reggae Anthology: Melody Life,2,2
The Real Quietstorm,2,2
Chronicles EP,2,2
Live At Wembley Stadium,2,2
King Tubby Meets Lee Perry: Megawatt Dub,1,1
Love American Style EP,1,1
At JD's,1,1
Dry And Heavy,1,1
Legend: The Best Of Willie Nelson,1,1
"Strait Out of the Box, Pt. 2",1,1
Menagerie: The Essential Zydeco Collection,1,1
Ram Jam World,1,1
"Hits, Rarities & Remixes",1,1
Best of Vince Gill,1,1
Sesión de Reiki – Olas del Mar y Recopilación de Sondios de la Naturaleza para Sanación Energética,0,0
The Stone Roses (Remastered),0,0
Would You Take Another Chance On Me?,0,0
Zodico Blues & Boogie,0,0
Ride the Lightning (Remastered),0,0
Rio After Dark (Live In Rio de Janeiro 1980),0,0
Saddle Up (Remixes) - EP,0,0
The Studio Album Collection 1977-1992,0,0
Silk Degrees (Bonus Track Version),0,0
The Singles Collection (Deluxe Version),0,0
"Schubert: Piano Sonatas, D. 960 & D. 664",0,0
Schubert: The Last Three Piano Sonatas,0,0
The Harder They Come (Original Motion Picture Soundtrack),0,0
Stand Up (2010 Collector's Edition) [2001 Remaster],0,0
World On a String (Remastered),0,0
"T'es OK, t'es bath, t'es In - EP",0,0
Tavares - Whodunit - Live!,0,0
Ter Veldhuis: Complete Solo Piano Music,0,0
"The African Museum & Tad's Collection, Vol. 1",0,0
The Ashford & Simpson Songbook,0,0
The Love Movement (Deluxe Edition),0,0
The Best of Jimmy Cliff (1975),0,0
The Best of the Kentucky Headhunters - Still Pickin',0,0
The Classic Blue Note Recordings,0,0
The Complete Blue Note Sixties Sessions,0,0
The Crown Prince of Reggae: Singles (1972-1985),0,0
Trust - EP,0,0
Too Old to Rock 'N' Roll: Too Young to Die! (40th Anniversary TV Special Edition) [2015 Steven Wilson Remix],0,0
Top 55 Classics - The Very Best of Dexter Gordon,0,0
The Essential Billy Squier,0,0
"The Grainger Edition, Vol. 4",0,0
Talk Much (Remixes) - Single,0,0
"Szymanowski, K.: Violin Concertos Nos. 1 and 2 - Concert Overture",0,0
Sings His Hit Song Ten Commandments,0,0
"Symphonies Nos. 26, 35 & 49",0,0
Women To The Front: Shania Twain - EP,0,0
With His Hot and Blue Guitar (feat. The Tennessee Two),0,0
Smooth Talk (Expanded Edition),0,0
Snap (Bonus Track Version),0,0
Willie Nelson The Collection,0,0
Wild Things (Original Motion Picture Soundtrack),0,0
Sonic Factories,0,0
Soul Sisters - Single,0,0
Soundtrack to the Apocalypse (Deluxe Edition),0,0
The Hawk In Hifi,0,0
War Child (Bonus Tracks Edition) [2002 Remaster],0,0
Vivid (Expanded Edition),0,0
Sticky Fingers (2015 Remaster),0,0
Strauss: Complete Chamber Music - Piano & Horn,0,0
Uprising (2013 Remaster),0,0
Survival (2013 Remaster),0,0
...Baby One More Time (Deluxe Version),0,0
Rewrite the Stars - Movie Hits,0,0
"Debussy, Ravel & Dutilleux: String Quartets",0,0
Dance Masters: Sailing,0,0
Crown Royal (Expanded Edition),0,0
Country Music - A Film by Ken Burns (The Soundtrack) [Deluxe],0,0
Country Masters: Rocky Top,0,0
Country Classics Vol. 1,0,0
"Copland: Appalachian Spring / W. H. Schuman: American Festival Overture / Barber: Adagio For Strings, Op. 11 / Bernstein: Overture Candide (Live)",0,0
Confrontation (2013 Remaster),0,0
Complete Captured Live (2002 Remaster),0,0
Comeblack (Special Edition),0,0
Coleman Hawkins: Greatest Hits,0,0
Coleman Hawkins – Godfather of Bop (1944-49),0,0
"Coleman Hawkins Selected Hits (Vol. 7, Original)",0,0
Coleman Hawkins Selected Favorites Vol. 14,0,0
Coleman Hawkins Selected Favorites Vol. 1,0,0
Coleman Hawkins (CD2),0,0
David Bowie (2015 Remaster),0,0
"Debussy: String Quartet in G Minor, Op. 10, L. 85 - Ravel: String Quartet in F Major, M. 35",0,0
Clifton's Squeeze-Box Boogie,0,0
Disco Nights (Expanded Edition),0,0
"Gershwin: Rhapsody in Blue, An American in Paris, Concerto in F",0,0
Gershwin: Rhapsody in Blue - Copland: Appalachian Spring - Barber: Adagio for Strings,0,0
Genesis - Single,0,0
Fun Street,0,0
From the Vault: No Security - San Jose 1999 (Live),0,0
Fridays For Future - EP,0,0
Found a Cure - EP,0,0
Filtered African Blues - Single,0,0
Fields of Gold (feat. Antonio Hart & Bill Cunliffe),0,0
Fear of a Black Planet (Deluxe Edition),0,0
Farover (Remastered),0,0
Exodus (Bonus Track Version),0,0
Enter Sandman - EP,0,0
Engine 54 (Expanded Version),0,0
Don't Go near the Water,0,0
Cold Snap (Remastered),0,0
Classics for Tennis,0,0
"Reggae, Reggae, Reggae!",0,0
BD Music Presents Hank Williams,0,0
At Tha Movies - EP,0,0
Arrival (Bonus Track Version),0,0
"Armin Only - Intense ""The Music""",0,0
"An Exciting Evening at Home with Shadrach, Meshach and Abednego - EP",0,0
American Pie - Single,0,0
"All Star Sessions, Volume 2: Hot Mallets",0,0
Alicia Bridges: The Collection,0,0
Absent (aka Unattended),0,0
ABBA (Bonus Track Version),0,0
A to Z of Coleman Hawkins Vol.2 (Digitally Remastered),0,0
A War to Restore,0,0
A Complete Introduction to Disco,0,0
"80's and 90's Style, Vol. 3",0,0
50 Classics For Babies (By Classic FM),0,0
15 Classic Tracks: KC and the Sunshine Band,0,0
At tha Movies - EP,0,0
BD Music Presents Sarah Vaughan,0,0
Check Your Head (Deluxe Version) [Remastered],0,0
"Bach, J.S. - Bach, C.P.E.: Oboe Concertos",0,0
Catch a Fire (Deluxe Edition),0,0
Carl Carlton (Expanded Edition),0,0
Can't Take Me Home (Expanded Edition),0,0
British Steel (Bonus Track Version),0,0
Boney M. - 2 in 1 (In the Mix/The Best 12inch Versions),0,0
Bobby Bare 2,0,0
Bob Marley Legacy: 75 Years A Legend - EP,0,0
Blues Legends: Magic Slim,0,0
Blizzard of Ozz (40th Anniversary Expanded Edition),0,0
Bernstein: West Side Story - Symphonic Dances,0,0
Beggars Banquet (Remastered),0,0
Battle of the Year (Original Motion Picture Soundtrack),0,0
Barrington Levy's DJ Counteraction (11 Classic Hits Re-Charged),0,0
"Barenboim & Chicago Symphony Orchestra - The Erato-Teldec Recordings, Vol. 2",0,0
Backtracks (Deluxe Edition),0,0
Get Down with Gloria Gaynor,0,0
Go West In the Navy,0,0
"Grainger: Works for Wind Orchestra, Vol. 2",0,0
Ottawan 2,0,0
Of Chaos and Eternal Night - EP,0,0
Odyssey (Expanded Edition),0,0
Needin' U II (feat. Juliet Roberts),0,0
My Love - Ultimate Essential Collection,0,0
My All EP,0,0
Music Inspired By Star Wars and Other Galactic Funk,0,0
Music (Bonus Track Version),0,0
Mozart: Symphony Nos. 40 & 41,0,0
